,prediction
0,1.1415833333333352
1,1.7512500000000002
2,1.290416666666667
3,1.8341666666666643
4,1.204249999999999
5,1.4175833333333319
6,1.4625833333333353
7,1.4655833333333337
8,1.0096666666666667
9,1.6760833333333347
10,0.7975833333333332
11,1.843083333333335
12,1.1402499999999998
13,2.1363333333333325
14,1.2531666666666668
15,1.0924999999999996
16,1.048
17,1.0875833333333347
18,1.0494999999999992
19,1.3244166666666668
20,1.2642499999999997
21,1.0444166666666677
22,1.5606666666666664
23,2.0029999999999992
24,0.7900833333333322
25,1.6727499999999969
26,0.8558333333333338
27,1.7694166666666669
28,1.4997500000000001
29,2.176833333333335
30,0.9585000000000016
31,1.3044999999999993
32,1.805416666666663
33,2.0019999999999984
34,1.8597500000000005
35,1.4215833333333345
36,1.100749999999998
37,0.8538333333333336
38,1.2679166666666672
39,0.8506666666666668
40,1.623000000000001
41,1.6692499999999988
42,1.2041666666666668
43,1.686083333333332
44,1.142333333333334
45,1.1804999999999997
46,1.5145833333333334
47,0.7628333333333334
48,1.1520833333333336
49,1.5099999999999991
50,0.9212499999999998
51,1.5435833333333326
52,1.705749999999999
53,1.2706666666666666
54,1.4015000000000009
55,0.6964166666666662
56,1.423666666666667
57,0.8967499999999993
58,1.1530833333333348
59,1.5528333333333362
60,1.2204166666666656
61,0.9588333333333316
62,1.3984999999999994
63,1.1601666666666646
64,1.3582499999999997
65,2.046166666666667
66,1.823916666666667
67,1.0417500000000002
68,1.0576666666666685
69,1.154916666666666
70,2.0763333333333356
71,1.5049166666666653
72,1.2202500000000007
73,1.5682499999999995
74,1.006083333333332
75,1.8075833333333324
76,1.3849166666666652
77,1.1687499999999993
78,1.4313333333333322
79,1.322333333333335
80,1.2205
81,1.963666666666666
82,1.346750000000001
83,1.65333333333333
84,1.571166666666665
85,2.291666666666672
86,1.5399999999999996
87,1.5610833333333354
88,1.5218333333333336
89,1.3093333333333352
90,1.7718333333333345
91,1.4519166666666687
92,0.9789999999999991
93,1.0104999999999988
94,1.0111666666666677
95,1.0236666666666672
96,1.6519999999999995
97,1.1467500000000015
98,1.4836666666666671
99,1.4077500000000007
100,1.313083333333332
101,1.067999999999999
102,1.4504166666666651
103,1.3934166666666676
104,1.1190833333333337
105,1.9795833333333315
106,1.0409999999999997
107,1.6576666666666677
108,1.3885833333333308
109,1.128749999999998
110,0.8195833333333329
111,1.2280833333333327
112,1.1942499999999974
113,1.0995833333333327
114,1.3915833333333343
115,1.4932499999999997
116,1.9899166666666643
117,1.4021666666666655
118,1.423500000000002
119,1.8218333333333305
120,1.449333333333335
121,1.5504166666666657
122,2.3325833333333383
123,1.7382499999999983
124,1.0842499999999997
125,1.0430833333333334
126,1.2605833333333336
127,1.0203333333333338
128,1.767333333333334
129,1.2991666666666666
130,1.5599999999999985
131,1.4510833333333315
132,1.2278333333333327
133,1.3810833333333357
134,1.280916666666666
135,1.533583333333333
136,1.7404166666666663
137,1.2942500000000008
138,0.9499166666666685
139,1.7265833333333336
140,1.9637499999999983
141,0.8860833333333316
142,1.398916666666667
143,1.6959166666666656
144,0.8384166666666678
145,1.2305833333333323
146,1.4620833333333334
147,1.5369166666666676
148,1.319000000000001
149,1.491500000000001
150,1.160416666666667
151,1.2266666666666661
152,1.5732500000000025
153,1.5320833333333341
154,0.920749999999999
155,1.061333333333336
156,1.0516666666666665
157,1.3227499999999963
158,1.59975
159,2.780916666666669
160,1.5594166666666678
161,0.9809999999999999
162,1.0183333333333342
163,1.2294999999999996
164,0.8360833333333347
165,1.2886666666666684
166,1.870249999999999
167,1.2654999999999998
168,1.542166666666669
169,1.1880000000000004
170,2.1085833333333355
171,1.1609999999999987
172,1.8197500000000015
173,1.0044999999999993
174,1.4974166666666668
175,1.148
176,1.3480000000000005
177,1.8916666666666635
178,1.7312499999999997
179,1.2975000000000003
180,1.3550000000000006
181,1.765083333333336
182,1.9232500000000017
183,1.6216666666666646
184,1.669333333333333
185,2.0208333333333335
186,1.306750000000002
187,1.3059166666666673
188,1.5373333333333348
189,1.1416666666666664
190,1.207583333333333
191,1.135083333333335
192,1.6458333333333344
193,1.2140833333333332
194,1.536583333333333
195,1.0032500000000002
196,1.325416666666665
197,1.7239999999999998
198,1.686166666666664
199,1.7114999999999978
200,1.144916666666665
201,1.1584166666666653
202,1.4863333333333348
203,1.314333333333334
204,1.1997500000000012
205,1.8451666666666662
206,1.3817499999999991
207,1.7490833333333349
208,0.9864999999999994
209,1.189166666666665
210,1.0474166666666676
211,0.9904166666666676
212,0.7804999999999997
213,1.4779166666666663
214,1.121916666666666
215,2.0373333333333337
216,0.9872499999999998
217,1.1680000000000006
218,1.6078333333333343
219,1.3534166666666654
220,0.9594166666666655
221,1.353083333333334
222,1.6550833333333326
223,1.543083333333335
224,0.8934166666666663
225,1.637583333333333
226,1.6925000000000006
227,1.4712500000000002
228,1.2856666666666667
229,1.1816666666666664
230,1.2636666666666672
231,1.5072500000000015
232,1.9822499999999992
233,1.8160000000000012
234,1.2059166666666694
235,1.020333333333333
236,1.392666666666666
237,1.7969166666666656
238,1.6915833333333314
239,2.0949166666666668
240,1.7982499999999986
241,1.0164166666666683
242,1.530833333333333
243,1.1595000000000009
244,1.4502499999999998
245,1.3020000000000003
246,1.8064166666666632
247,1.964916666666664
248,1.5644999999999996
249,1.7023333333333313
250,1.132916666666667
251,2.1823333333333332
252,1.617666666666669
253,2.0376666666666683
254,1.0034999999999998
255,1.5269166666666658
256,1.5129166666666676
257,1.50325
258,1.1323333333333327
259,1.576166666666667
260,1.6954999999999982
261,1.55775
262,1.3087500000000012
263,1.4856666666666665
264,1.697416666666668
265,1.3054166666666676
266,2.011583333333334
267,1.7337500000000012
268,1.9774166666666646
269,1.1886666666666679
270,1.0203333333333324
271,1.1980833333333334
272,1.441750000000002
273,1.4836666666666665
274,1.2156666666666667
275,0.9900833333333342
276,1.639249999999998
277,1.0315833333333324
278,1.2517500000000006
279,1.6375833333333327
280,1.7331666666666652
281,1.816749999999999
282,0.854750000000001
283,1.5970000000000015
284,1.6869166666666702
285,1.2316666666666667
286,1.5305000000000004
287,2.0345833333333316
288,1.3985833333333308
289,1.0842500000000015
290,1.680916666666666
291,1.3312499999999983
292,1.3595000000000017
293,1.5014166666666684
294,1.2375000000000005
295,0.9908333333333333
296,1.1861666666666693
297,1.4847500000000007
298,1.2344999999999993
299,1.1993333333333334
300,0.945416666666667
301,1.6565000000000012
302,1.2440833333333334
303,1.426416666666665
304,0.9045833333333346
305,1.5627499999999992
306,1.1376666666666666
307,1.266583333333334
308,0.9475833333333346
309,1.1584166666666667
310,1.3711666666666678
311,1.2915000000000012
312,1.1329999999999998
313,1.5910833333333327
314,0.9136666666666671
315,1.5685833333333323
316,1.2673333333333332
317,1.337250000000001
318,2.055416666666669
319,1.6552499999999986
320,1.546166666666667
321,1.529333333333334
322,1.221083333333333
323,1.2227499999999993
324,1.5433333333333328
325,1.134416666666667
326,1.5585000000000013
327,0.9864999999999999
328,1.0980833333333317
329,1.3172500000000003
330,1.7830000000000037
331,1.3865000000000005
332,1.043583333333334
333,1.7474999999999976
334,0.9964166666666664
335,1.4351666666666663
336,1.3603333333333354
337,1.661749999999999
338,1.8159999999999996
339,1.3760833333333333
340,1.315583333333333
341,1.5273333333333319
342,1.2264999999999984
343,1.370249999999998
344,1.1304999999999994
345,1.2776666666666672
346,1.3865
347,1.3243333333333343
348,1.6049166666666688
349,1.7100833333333347
350,1.6049166666666674
351,1.1415
352,1.492
353,0.9093333333333352
354,1.4572499999999993
355,1.8222499999999966
356,1.0135833333333333
357,1.4879166666666659
358,1.686250000000002
359,1.4251666666666658
360,1.0252499999999993
361,1.0655000000000003
362,1.678416666666667
363,1.5988333333333329
364,1.1370000000000002
365,1.4569999999999999
366,1.0963333333333334
